EssayID,Content,Organization,Word Choice,Sentence Fluency,Conventions
662,3,3,3,3,3
663,4,4,4,4,4
664,3,3,4,3,3
665,2,2,2,2,2
666,4,4,3,4,4
667,3,3,3,4,4
668,4,4,4,4,4
669,4,3,3,4,4
670,3,3,3,3,3
671,3,3,3,3,3
672,4,4,4,4,4
673,2,2,2,2,2
674,3,3,3,3,3
675,3,3,3,3,3
676,3,3,3,3,3
677,3,3,3,3,3
678,4,4,3,3,3
679,3,3,3,4,4
680,4,3,3,3,3
681,4,4,3,3,3
682,4,4,4,4,4
683,4,4,4,4,4
684,4,5,5,5,5
685,5,5,5,5,5
686,4,4,4,4,4
687,3,3,3,4,4
688,4,3,3,4,4
689,4,3,4,5,5
690,4,5,4,4,4
691,3,3,3,3,3
692,3,2,2,2,2
693,4,3,3,3,3
694,4,4,4,5,5
695,5,5,4,4,4
696,3,4,3,3,3
697,4,4,3,3,4
698,3,3,3,3,3
699,5,5,5,5,5
700,3,3,3,3,3
701,4,3,4,4,4
702,2,2,2,2,2
703,4,4,3,4,3
704,3,3,3,3,2
705,4,3,3,3,3
706,5,4,5,5,5
707,3,3,3,3,3
708,4,4,4,4,4
709,5,4,4,4,4
710,4,4,4,4,4
711,5,4,4,4,4
712,3,4,3,3,3
713,4,4,4,4,4
714,5,5,5,5,5
715,3,3,3,3,3
716,4,4,4,4,4
717,4,4,5,4,5
718,5,4,5,5,5
719,4,4,3,3,3
720,4,4,5,5,5
721,4,4,4,4,4
722,6,5,6,5,5
723,5,5,5,5,5
724,5,4,4,4,4
725,3,3,3,3,3
726,4,4,4,4,4
727,3,3,3,2,2
728,4,3,3,3,3
729,3,3,3,3,3
730,5,5,5,5,5
731,4,4,3,3,3
732,4,4,4,3,4
733,3,3,3,3,3
734,4,4,4,4,4
735,4,4,4,4,4
736,4,4,4,4,4
737,4,4,4,4,4
738,3,4,3,3,3
739,4,4,3,3,3
740,4,4,4,4,4
741,3,4,3,4,4
742,4,4,4,4,4
743,5,5,5,5,4
744,4,3,3,4,3
745,3,4,4,3,3
746,3,4,4,4,4
747,3,3,3,3,3
748,4,4,4,4,4
749,5,4,5,5,5
750,3,3,3,3,3
751,3,3,3,3,3
752,3,3,3,3,3
753,3,3,3,3,3
754,5,4,4,4,4
755,5,5,4,5,5
756,4,4,3,3,3
757,4,3,4,4,4
758,3,3,3,3,3
759,5,5,5,5,4
760,4,4,3,3,3
761,3,3,3,3,3
762,5,5,5,5,5
763,3,3,4,4,4
764,4,4,3,3,3
765,4,4,3,3,3
766,3,3,3,3,3
767,4,4,3,4,3
768,5,5,4,5,5
769,6,6,5,6,5
770,5,4,4,4,4
771,4,4,4,5,4
772,4,4,4,4,4
773,4,3,4,4,4
774,5,4,4,4,4
775,3,3,3,3,3
776,3,2,3,2,2
777,4,4,4,4,4
778,5,4,4,3,3
779,4,4,4,4,4
780,5,4,4,4,4
781,4,4,4,4,4
782,5,5,4,4,4
783,3,4,3,4,4
784,4,4,5,5,5
785,5,5,5,4,5
786,3,3,3,4,4
787,4,4,4,4,4
788,3,3,3,3,3
789,2,2,2,2,2
790,3,3,3,3,3
791,3,3,3,3,3
792,3,3,4,4,4
793,5,5,5,4,4
794,4,4,3,3,3
795,4,4,4,4,4
796,4,3,4,4,4
797,4,4,4,4,4
798,4,3,3,4,4
799,3,3,3,3,3
800,5,5,5,5,5
801,3,3,3,3,3
802,4,4,3,4,4
803,3,3,3,3,4
804,3,3,3,3,3
805,5,5,4,5,5
806,2,2,3,3,3
807,4,4,4,4,4
808,2,2,2,2,2
809,3,3,3,3,3
810,3,3,3,3,3
811,4,3,3,3,3
812,3,3,3,3,3
813,3,3,3,3,3
814,4,4,4,4,4
815,4,4,4,5,4
816,4,4,3,3,3
817,5,5,5,5,5
818,3,3,3,3,3
819,3,3,3,3,3
820,3,3,2,3,3
821,4,4,4,4,4
822,4,3,3,3,3
823,3,4,3,3,3
824,3,3,3,3,3
825,3,4,3,3,3
826,5,4,6,5,5
827,2,2,2,2,2
828,5,5,5,5,5
829,3,3,4,3,3
830,4,4,4,4,4
831,3,4,3,4,4
832,1,1,1,1,1
833,4,4,5,4,4
834,5,5,4,4,4
835,4,4,4,4,4
836,3,3,3,3,3
837,3,3,3,3,3
838,2,1,1,1,1
839,4,4,4,4,4
840,4,4,3,4,4
841,2,2,2,2,2
842,3,3,3,3,3
843,3,3,3,3,3
844,4,4,3,3,3
845,4,4,4,4,4
846,3,4,3,4,4
847,5,5,5,5,5
848,2,2,2,2,2
849,3,3,3,2,2
850,6,4,5,6,6
851,5,4,4,4,4
852,4,4,5,5,5
853,4,3,4,4,4
854,3,4,3,3,2
855,4,3,3,4,4
856,4,4,4,4,4
857,3,3,3,3,3
858,4,3,4,4,4
859,6,6,6,6,6
860,4,4,3,4,4
861,3,3,3,3,3
862,3,4,3,3,3
863,3,3,3,3,3
864,5,4,4,4,4
865,3,3,3,3,3
866,4,4,4,4,4
867,3,3,3,3,3
868,5,5,5,5,5
869,2,2,2,2,2
870,3,3,3,3,3
871,5,4,4,4,4
872,4,4,3,4,4
873,3,3,3,3,3
874,5,5,5,5,5
875,5,4,4,4,4
876,3,3,3,3,3
877,5,4,5,5,5
878,5,3,4,3,3
879,5,4,4,4,4
880,4,4,4,4,4
881,4,4,3,4,3
882,4,5,4,4,4
883,3,3,3,4,4
884,4,3,3,4,4
885,4,4,3,3,3
886,5,4,5,4,4
887,4,4,3,4,4
888,4,4,4,4,4
889,3,3,3,3,3
890,3,4,3,3,3
891,4,4,4,4,4
892,5,4,4,4,4
893,3,2,3,3,3
894,4,4,4,4,4
895,3,4,3,3,3
896,3,3,3,3,3
897,5,5,4,4,4
898,4,4,3,3,3
899,3,4,3,3,3
900,4,4,4,4,4
901,3,3,3,3,3
902,4,4,4,4,4
903,3,3,3,3,3
904,4,3,3,4,3
905,3,3,2,3,3
906,6,5,6,6,6
907,4,4,4,5,4
908,4,4,4,4,4
909,4,4,4,4,4
910,3,3,3,3,3
911,3,3,3,3,3
912,4,4,4,4,4
913,4,4,5,4,4
914,3,3,3,3,3
915,5,4,5,4,4
916,4,4,4,4,4
917,3,4,3,3,3
918,4,4,4,4,4
919,4,4,4,4,4
920,4,4,3,4,4
921,3,4,3,4,4
922,4,3,4,3,3
923,2,3,3,3,3
924,3,3,3,3,3
925,2,2,2,2,2
926,2,2,2,2,2
927,3,2,3,3,3
928,4,4,4,4,4
929,5,4,5,5,5
930,3,3,3,3,3
931,4,3,4,4,4
932,5,5,5,5,5
933,3,4,3,3,3
934,4,4,3,4,4
935,4,3,3,3,3
936,4,3,3,3,3
937,4,4,4,4,4
938,6,4,6,5,5
939,3,3,3,4,4
940,3,3,3,3,3
941,6,6,5,5,5
942,5,4,5,4,3
943,4,4,4,3,3
944,3,3,3,3,3
945,5,5,4,4,4
946,3,3,3,3,3
947,4,4,5,5,4
948,5,5,4,5,5
949,3,3,3,3,3
950,5,4,5,5,5
951,5,5,4,5,5
952,4,4,3,4,4
953,6,6,6,6,6
954,5,4,4,4,4
955,3,3,3,3,3
956,3,3,3,3,3
957,4,5,4,4,4
958,4,3,3,4,4
959,5,5,4,5,5
960,2,2,2,2,2
961,3,3,3,3,3
962,4,5,4,5,5
963,3,3,3,3,3
964,6,6,6,5,6
965,4,3,4,3,4
966,3,4,3,3,3
967,6,4,5,5,5
968,5,6,5,5,5
969,3,3,3,3,3
970,5,4,5,4,4
971,4,3,3,3,3
972,4,4,4,3,3
973,4,4,3,4,4
974,1,1,1,1,1
975,5,4,4,4,4
976,4,5,4,5,5
977,2,3,2,2,2
978,3,4,4,3,4
979,6,5,6,6,5
980,4,5,4,4,4
981,5,5,4,4,4
982,4,5,4,4,4
983,3,3,3,3,3
984,3,3,3,3,3
985,4,4,4,4,4
986,4,4,4,4,4
987,4,3,4,4,4
988,4,4,4,5,4
989,6,5,5,5,5
990,5,5,4,4,4
991,3,4,3,3,4
992,3,3,2,3,3
993,5,4,4,4,4
994,4,4,3,3,4
995,2,2,2,2,2
996,4,4,3,4,4
997,5,4,4,4,4
998,5,5,5,4,4
999,5,5,5,5,5
1000,6,6,5,6,6
1001,3,3,3,3,3
1002,4,3,4,4,4
1003,4,4,4,4,4
1004,3,3,3,2,2
1005,4,4,3,3,3
1006,5,4,5,5,5
1007,5,5,6,6,6
1008,4,4,4,4,4
1009,3,3,4,3,4
1010,3,4,3,3,3
1011,4,4,3,3,4
1012,4,4,3,3,3
1013,3,3,2,2,2
1014,4,3,4,3,3
1015,4,4,4,4,4
1016,4,4,3,3,3
1017,3,3,3,3,3
1018,5,4,6,5,5
1019,4,4,4,4,4
1020,4,5,4,4,5
1021,4,4,3,4,4
1022,6,6,6,5,5
1023,3,3,3,3,3
1024,3,3,3,3,3
1025,5,5,5,5,5
1026,5,4,5,4,4
1027,4,4,4,4,4
1028,6,6,5,5,5
1029,4,4,5,5,5
1030,3,3,3,3,4
1031,5,5,4,5,5
1032,4,3,4,4,4
1033,4,5,5,5,5
1034,3,3,3,3,3
1035,4,5,5,5,5
1036,4,4,3,3,3
1037,3,3,3,3,3
1038,5,5,5,4,5
1039,3,4,3,4,4
1040,3,3,2,3,4
1041,2,2,2,2,2
1042,5,5,4,4,4
1043,5,5,4,5,5
1044,2,2,3,2,2
1045,5,4,5,4,4
1046,4,4,3,3,3
1047,5,4,5,5,5
1048,4,4,4,4,4
1049,4,5,4,4,4
1050,4,4,4,4,4
1051,3,4,3,4,4
1052,4,5,4,4,4
1053,4,4,3,3,3
1054,3,3,3,3,3
1055,3,3,3,3,3
1056,3,2,3,2,2
1057,4,5,4,4,5
1058,4,5,5,5,5
1059,4,5,4,5,5
1060,4,4,3,3,3
1061,3,3,3,3,3
1062,4,4,4,4,4
1063,5,4,5,5,5
1064,4,3,4,3,3
1065,3,4,3,3,4
1066,6,5,5,5,5
1067,4,4,5,4,4
1068,3,4,4,4,4
1069,5,5,5,4,4
1070,3,3,2,3,3
1071,3,3,3,3,3
1072,3,3,3,3,3
1073,4,4,3,3,3
1074,4,3,2,2,2
1075,4,3,4,3,3
1076,6,6,6,6,6
1077,4,3,3,3,3
1078,6,5,6,6,6
1079,3,3,3,4,4
1080,3,4,3,4,4
1081,3,3,3,4,4
1082,3,3,3,3,3
1083,2,2,2,3,3
1084,4,4,4,4,4
1085,4,4,4,4,4
1086,4,4,4,4,4
1087,5,4,5,5,5
1088,5,4,5,5,5
1089,3,3,4,5,5
1090,3,4,3,3,3
1091,4,4,5,5,5
1092,5,4,4,5,5
1093,3,5,3,4,4
1094,3,4,4,4,4
1095,4,3,3,3,3
1096,2,2,2,2,2
1097,4,4,4,4,4
1098,3,4,3,3,3
1099,4,4,4,3,4
1100,3,3,3,3,3
1101,3,3,3,3,3
1102,4,4,3,3,3
1103,2,2,2,2,2
1104,5,4,5,5,5
1105,4,4,4,4,4
1106,5,4,5,4,4
1107,2,1,1,2,2
1108,4,4,3,4,4
1109,4,4,3,4,4
1110,4,3,4,4,4
1111,5,4,5,5,5
1112,3,4,4,4,4
1113,5,5,5,5,5
1114,4,4,4,4,4
1115,3,4,4,3,3
1116,3,4,4,4,4
1117,3,3,3,2,3
1118,4,3,4,4,4
1119,5,4,5,5,5
1120,3,3,3,3,3
1121,1,1,1,1,1
1122,6,5,5,6,6
1123,3,3,3,3,3
1124,5,4,5,5,5
1125,3,3,3,3,3
1126,4,4,4,4,4
1127,4,4,4,4,4
1128,3,3,3,3,3
1129,5,5,3,3,3
1130,2,2,3,3,3
1132,3,4,3,4,4
1133,6,5,6,5,5
1134,3,3,3,3,3
1135,6,5,6,6,6
1136,4,4,3,5,4
1137,4,4,3,3,3
1138,3,4,3,3,3
1139,4,4,4,4,4
1140,5,5,5,4,4
1141,3,3,3,3,3
1142,4,3,4,4,4
1143,5,4,5,5,4
1144,5,5,4,4,4
1145,5,5,4,5,5
1146,4,4,3,3,3
1147,5,5,4,5,5
1148,4,4,3,4,4
1149,6,6,6,6,6
1150,5,5,5,5,5
1151,4,4,4,4,4
