Essay ID,Content,Organization,Word Choice,Sentence Fluency,Conventions
3142,3,3,3,4,4
3143,3,2,2,2,2
3144,3,3,3,3,3
3145,3,3,3,4,5
3146,3,2,2,3,3
3147,2,1,1,2,1
3148,2,2,2,2,3
3149,2,2,2,2,2
3150,3,3,3,3,3
3151,4,3,4,4,4
3152,3,3,3,3,3
3153,3,3,3,3,3
3154,2,2,2,2,3
3155,2,2,2,2,2
3156,2,2,2,2,2
3157,3,3,3,3,3
3158,3,2,2,2,2
3159,3,2,1,2,1
3160,2,2,3,4,5
3161,4,4,4,3,2
3162,4,5,4,5,5
3163,5,6,5,6,6
3164,3,3,2,3,2
3165,4,5,4,4,4
3166,5,5,5,4,4
3167,4,4,3,3,4
3168,5,5,5,5,5
3169,4,4,4,4,4
3170,4,3,2,3,2
3171,5,4,4,4,5
3172,3,3,3,3,3
3173,2,2,2,2,2
3174,3,2,2,2,2
3175,4,4,3,3,4
3176,3,3,3,3,3
3177,1,1,1,1,1
3178,4,4,2,4,5
3179,3,4,3,3,3
3180,5,4,4,4,4
3181,5,4,3,4,4
3182,2,2,2,3,2
3183,4,3,3,3,3
3184,2,2,3,3,2
3185,3,3,3,3,3
3186,3,2,2,3,1
3187,3,2,2,3,4
3188,2,2,2,3,2
3189,5,5,4,4,5
3190,4,4,4,4,3
3191,5,4,4,4,3
3192,2,2,2,3,4
3193,3,4,3,3,3
3194,2,2,2,2,3
3195,4,3,4,4,4
3196,2,2,2,2,2
3197,2,2,3,3,2
3198,3,3,2,3,3
3199,4,4,4,4,3
3200,4,4,4,4,4
3201,3,3,3,3,4
3202,4,4,3,4,4
3203,3,3,3,3,3
3204,2,4,2,3,2
3205,4,3,3,3,2
3206,3,3,3,3,3
3207,3,3,3,2,2
3208,3,3,4,4,4
3209,1,1,1,1,1
3210,3,3,3,3,3
3211,2,2,2,2,2
3212,5,5,5,5,5
3213,5,4,4,5,4
3214,4,5,4,5,5
3215,1,1,1,1,1
3216,5,5,5,4,5
3217,3,3,3,3,3
3218,4,3,3,3,3
3219,5,5,4,4,4
3220,3,2,3,3,3
3221,2,2,2,2,2
3222,2,2,2,2,2
3223,2,2,2,2,2
3224,2,3,2,3,2
3225,3,3,3,3,4
3226,3,3,3,3,3
3227,2,2,2,2,2
3228,3,3,4,4,3
3229,3,3,3,3,3
3230,1,1,1,1,1
3231,3,3,4,3,3
3232,2,2,2,2,2
3233,2,2,2,3,3
3234,2,2,2,3,2
3235,3,3,3,3,3
3236,3,3,3,3,3
3237,1,1,1,1,1
3238,2,2,2,2,2
3239,3,3,3,3,3
3240,2,1,1,1,1
3241,1,1,1,1,1
3242,4,3,4,4,3
3243,5,4,4,4,3
3244,3,3,3,3,3
3245,1,1,1,1,1
3246,2,2,3,3,3
3247,3,3,3,3,3
3248,3,3,3,4,4
3249,4,4,5,5,5
3250,1,1,1,1,1
3251,3,3,2,3,3
3252,3,3,3,3,3
3253,4,4,5,5,4
3254,6,5,6,6,5
3255,2,2,2,3,2
3256,2,2,2,2,2
3257,1,1,1,1,1
3258,3,3,3,3,3
3259,2,2,1,2,2
3260,3,3,3,3,3
3261,3,3,3,4,3
3262,3,3,3,3,3
3263,5,4,5,4,4
3264,2,2,2,3,2
3265,5,4,5,4,4
3266,5,4,4,4,4
3267,2,3,4,4,4
3268,4,4,4,4,4
3269,3,4,3,4,4
3270,3,3,3,4,4
3271,3,3,3,3,3
3272,1,1,1,1,1
3273,5,5,4,4,4
3274,4,4,4,4,4
3275,4,5,3,4,5
3276,3,3,3,3,2
3277,5,4,5,5,4
3278,3,3,3,3,3
3279,3,3,3,3,4
3280,2,2,2,2,2
3281,3,3,3,3,3
3282,4,5,4,4,4
3283,2,2,2,2,2
3284,4,3,4,4,4
3285,2,2,3,2,2
3286,4,3,3,4,4
3287,4,4,4,4,4
3288,3,3,3,3,4
3289,2,2,2,2,2
3290,2,3,3,3,2
3291,4,4,5,5,5
3292,4,5,4,4,5
3293,4,4,3,4,3
3294,3,3,3,3,3
3295,3,4,3,4,3
3296,4,5,4,4,3
3297,2,2,2,2,2
3298,4,3,3,3,3
3299,5,5,4,5,5
3300,3,3,4,4,3
3301,2,2,2,2,2
3302,5,4,5,4,5
3303,2,3,2,3,2
3304,5,4,4,4,5
3305,2,2,2,2,2
3306,5,4,4,4,4
3307,2,2,2,2,2
3308,3,3,3,3,4
3309,5,5,4,4,3
3310,6,6,6,6,5
3311,5,5,4,4,5
3312,3,3,3,4,3
3313,2,2,3,3,3
3314,3,3,2,3,4
3315,4,3,3,3,3
3316,2,3,3,3,2
3317,2,2,2,2,2
3318,3,3,3,3,3
3319,2,2,2,2,2
3320,3,3,3,3,3
3321,4,3,3,3,3
3322,3,3,3,2,2
3323,5,5,4,5,5
3324,2,2,2,2,2
3325,3,3,3,3,3
3326,4,3,4,4,4
3327,2,2,2,2,2
3328,2,3,2,3,3
3329,2,2,2,3,2
3330,2,4,3,4,4
3331,5,5,4,5,4
3332,3,3,2,3,3
3333,2,2,2,3,3
3334,5,5,4,4,5
3335,3,3,3,4,4
3336,3,3,1,3,1
3337,3,3,3,3,3
3338,2,3,2,2,3
3339,5,5,5,4,5
3340,2,2,2,2,2
3341,2,2,2,2,2
3342,5,5,5,5,5
3343,6,6,5,6,5
3344,4,4,4,4,4
3345,2,2,2,2,2
3346,3,3,3,3,3
3347,3,3,4,4,5
3348,4,3,3,4,4
3349,4,4,4,5,5
3350,3,3,2,3,3
3351,3,3,3,3,3
3352,1,1,1,1,1
3353,2,2,1,1,2
3354,2,2,2,2,2
3355,2,2,2,2,2
3356,2,2,2,2,2
3357,3,3,2,3,2
3358,2,2,2,2,2
3359,1,1,1,1,1
3360,3,3,3,3,3
3361,4,4,4,5,4
3362,4,5,5,5,5
3363,1,1,1,1,1
3364,3,3,4,3,3
3365,3,2,3,3,4
3366,4,3,4,4,4
3367,3,3,4,4,4
3368,4,3,4,4,4
3369,2,2,2,2,2
3370,5,4,5,4,5
3371,2,2,2,3,3
3372,2,2,2,2,2
3373,3,2,2,3,3
3374,3,3,3,3,3
3375,2,2,2,2,2
3376,3,3,3,3,3
3377,2,2,1,2,2
3378,2,2,2,2,2
3379,2,1,1,2,1
3380,3,4,4,4,3
3381,4,5,4,4,3
3382,3,4,4,4,4
3383,5,5,5,4,4
3384,4,4,4,3,3
3385,5,5,5,5,5
3386,5,5,5,5,5
3387,2,2,3,4,3
3388,3,2,3,3,3
3389,2,2,2,2,2
3390,2,2,3,3,3
3391,3,3,3,3,3
3392,2,2,2,3,3
3393,3,3,3,3,3
3394,4,4,4,5,4
3395,4,4,4,4,4
3396,2,2,2,2,2
3397,3,3,4,3,4
3398,4,3,3,4,4
3399,5,4,4,4,5
3400,2,3,2,2,2
3401,2,2,3,3,2
3402,3,4,4,5,5
3403,4,4,3,4,3
3404,4,5,3,4,4
3405,4,4,4,4,4
3406,4,4,4,4,4
3407,4,4,4,4,3
3408,3,3,3,4,3
3409,3,3,2,3,3
3410,3,2,2,3,2
3411,3,3,3,3,3
3412,3,3,3,3,3
3413,2,2,2,2,2
3414,4,4,4,4,5
3415,2,2,2,3,2
3416,2,2,2,2,2
3417,2,2,2,2,2
3418,4,4,4,4,4
3419,1,1,1,1,1
3420,2,2,2,2,2
3421,3,3,3,3,3
3422,2,2,2,3,3
3423,1,1,1,2,1
3424,5,4,4,4,4
3425,3,3,3,3,5
3426,2,1,2,2,1
3427,3,3,5,4,3
3428,4,3,4,4,5
3429,2,1,1,2,1
3430,2,2,2,2,2
3431,2,2,2,2,2
3432,3,3,3,3,3
3433,3,3,3,3,4
3434,1,1,1,1,2
3435,1,1,1,1,1
3436,4,4,3,4,4
3437,2,2,2,3,2
3438,2,2,3,3,3
3439,3,3,3,3,3
3440,3,3,3,4,3
3441,3,3,3,3,3
3442,4,3,3,3,3
3443,5,5,4,4,4
3444,5,5,4,5,5
3445,4,4,3,4,3
3446,3,4,3,4,3
3447,4,3,5,4,5
3448,3,5,3,4,4
3449,3,3,3,3,3
3450,2,2,2,2,3
3451,4,3,4,4,5
3452,4,4,5,4,4
3453,4,4,4,4,4
3454,2,2,2,3,3
3455,2,2,2,3,2
3456,2,2,2,2,2
3457,2,2,2,3,3
3458,3,3,3,3,3
3459,3,3,3,4,3
3460,3,3,4,4,4
3461,2,3,3,4,4
3462,2,2,2,3,2
3463,3,2,3,4,3
3464,5,5,5,5,4
3465,2,2,2,3,2
3466,4,4,4,4,3
3467,5,5,5,5,5
3468,5,5,5,5,5
3469,4,5,4,4,3
3470,3,3,4,4,4
3471,2,2,2,3,2
3472,3,3,3,3,2
3473,1,1,1,1,1
3474,3,4,3,4,3
3475,2,2,2,3,4
3476,2,2,2,3,3
3477,2,2,2,2,2
3478,3,3,4,4,4
3479,2,2,2,3,4
3480,2,2,2,2,2
3481,4,4,3,4,5
3482,2,2,3,3,3
3483,5,5,4,5,5
3484,4,4,4,4,3
3485,5,5,4,5,4
3486,2,2,2,2,2
3487,5,5,5,5,5
3488,2,2,2,2,2
3489,3,2,3,3,3
3490,4,4,4,4,3
3491,2,3,2,3,2
3492,4,3,3,4,3
3493,1,1,3,3,3
3494,2,2,1,2,1
3495,4,5,4,5,4
3496,3,5,3,3,3
3497,2,3,2,3,2
3498,4,3,3,4,3
3499,2,3,3,3,2
3500,3,3,3,3,3
3501,5,4,4,4,3
3502,4,4,3,3,4
3503,3,3,3,4,4
3504,3,3,3,3,3
3505,2,2,2,2,2
3506,4,3,3,3,4
3507,5,5,5,5,5
3508,4,4,4,4,3
3509,6,5,5,5,5
3510,2,2,2,2,2
3511,4,3,4,4,3
3512,3,3,3,4,3
3513,4,4,4,4,4
3514,4,4,4,4,4
3515,4,4,4,4,3
3516,4,4,5,4,4
3517,1,1,1,3,3
3518,3,4,4,4,3
3519,4,4,4,5,4
3520,2,3,3,3,2
3521,4,4,4,5,5
3522,4,4,4,4,4
3523,4,4,4,4,4
3524,5,5,5,5,5
3525,3,3,2,3,3
3526,3,3,2,3,2
3527,3,3,3,3,3
3528,3,3,3,3,3
3529,5,5,5,5,5
3530,5,4,4,4,4
3531,5,4,4,3,3
3532,2,2,2,3,3
3533,2,2,2,2,2
3534,3,3,2,3,3
3535,2,2,2,2,2
3536,4,4,4,4,3
3537,3,3,3,3,3
3538,2,1,2,1,1
3539,4,3,3,3,3
3540,2,2,2,2,2
3541,3,3,3,3,3
3542,3,3,3,3,3
3543,2,2,2,3,3
3544,3,3,3,3,4
3545,4,5,4,4,3
3546,5,5,4,5,4
3547,3,3,3,3,3
3548,4,4,4,4,4
3549,3,3,3,3,3
3550,4,4,5,5,4
3551,4,5,4,4,4
3552,4,4,4,4,4
3553,4,4,4,4,4
3554,3,3,2,3,4
3555,5,5,5,5,5
3556,1,1,1,1,1
3557,5,4,5,5,5
3558,2,2,2,2,3
3559,2,2,2,2,2
3560,4,4,4,3,3
3561,4,3,3,3,4
3562,3,3,3,3,3
3563,3,3,3,2,3
3564,3,3,3,4,3
3565,3,3,3,3,3
3566,3,3,3,3,3
3567,3,3,3,3,3
3568,5,5,4,5,5
3569,3,4,3,3,4
3570,6,5,6,6,6
3571,4,4,4,4,4
3572,1,1,1,1,1
3573,3,4,3,3,5
3574,5,4,4,5,5
3575,2,2,2,3,3
3576,2,2,2,2,3
3577,5,5,5,5,5
3578,4,4,3,4,4
3579,5,4,5,4,5
3580,2,2,2,2,2
3581,3,2,2,2,2
3582,2,2,2,2,2
3583,3,3,3,3,3
3584,3,3,3,4,3
3585,4,3,3,3,3
3586,4,3,4,4,4
3587,2,2,2,2,2
3588,1,1,1,1,1
3589,4,4,5,4,5
3590,2,1,1,1,1
3591,3,3,2,3,3
3592,2,2,2,3,2
3593,4,5,4,4,4
3594,3,3,3,3,3
3595,3,3,3,4,4
3596,3,3,3,3,3
3597,1,1,1,2,2
3598,4,4,4,4,4
3599,3,3,3,3,2
3600,4,3,4,4,4
3601,3,3,4,4,4
3602,2,2,2,3,2
3603,1,1,3,3,3
3604,3,3,2,2,2
3605,5,5,4,4,3
3606,4,4,4,4,4
3607,5,5,4,5,6
3608,5,4,5,4,4
3609,3,3,3,3,3
3610,3,2,3,3,4
3611,1,2,2,3,3
3612,3,3,4,4,5
3613,4,4,4,4,4
3614,3,3,3,3,3
3615,3,3,3,3,3
3616,3,3,3,3,4
3617,3,2,4,3,4
3618,3,3,2,2,2
3619,3,3,3,3,4
3620,3,3,3,3,3
3621,4,3,3,4,4
3622,5,5,5,5,4
3623,4,3,4,4,4
3624,5,5,5,4,5
3625,4,4,4,4,3
3626,5,5,5,5,5
3627,3,3,3,3,3
3628,5,5,5,5,5
3629,3,3,3,3,3
3630,3,4,3,4,4
3631,4,3,4,4,3
3632,2,2,2,2,2
3633,3,3,2,3,2
3634,2,2,2,2,2
3635,3,2,2,3,3
3636,4,4,3,3,3
3637,4,3,3,4,3
3638,4,5,4,4,5
3639,3,2,3,3,3
3640,3,3,3,3,4
3641,1,1,2,2,1
3642,2,2,2,2,2
3643,1,1,1,2,1
3644,3,3,4,4,4
3645,2,2,2,3,3
3646,5,4,4,5,5
3647,4,3,4,4,4
3648,6,5,6,5,5
3649,4,3,3,4,4
3650,4,5,5,4,4
3651,3,3,3,3,3
3652,3,3,3,3,3
3653,3,3,3,3,3
3654,3,3,3,3,3
3655,3,3,3,3,3
3656,1,1,1,1,1
3657,6,5,4,5,5
3658,5,5,4,4,4
3659,2,2,3,3,3
3660,2,2,3,3,3
3661,5,4,4,5,4
3662,5,5,5,4,4
3663,3,1,1,2,1
3664,4,5,4,4,4
3665,3,3,2,3,3
3666,3,3,3,3,3
3667,2,2,2,3,1
3668,5,5,4,4,5
3669,2,3,2,2,2
3670,1,1,1,1,1
3671,3,3,4,4,3
3672,2,2,2,3,2
3673,1,1,1,1,1
3674,5,4,4,5,4
3675,2,4,3,4,3
3676,5,5,5,5,5
3677,3,3,3,3,4
3678,2,2,2,3,3
3679,2,2,2,3,3
3680,2,2,2,2,2
3681,2,2,2,2,2
3682,5,5,5,5,5
3683,3,3,3,3,4
3684,2,2,2,3,2
3685,1,1,2,2,3
3686,2,2,2,3,3
3687,5,5,5,5,5
3688,3,3,3,3,4
3689,3,3,3,3,3
3690,2,2,2,2,2
3691,5,5,5,4,5
3692,3,3,3,3,3
3693,3,2,2,3,3
3694,3,3,3,3,3
3695,2,2,2,2,2
3696,3,3,3,4,3
3697,3,3,2,3,3
3698,4,3,3,4,4
3699,2,2,3,3,4
3700,4,4,5,5,5
3701,4,3,3,4,4
3702,3,3,3,3,4
3703,2,2,2,2,2
3704,3,3,3,3,4
3705,1,1,1,1,1
3706,3,3,4,4,4
3707,5,5,4,4,5
3708,3,3,3,3,4
3709,2,2,2,2,2
3710,2,2,2,2,2
3711,2,3,3,3,4
3712,3,4,3,3,4
3713,4,3,3,3,4
3714,1,1,1,1,2
3715,3,3,3,3,3
3716,3,2,3,3,3
3717,3,3,2,3,3
3718,2,2,2,2,2
3719,3,3,3,3,3
3720,2,2,2,2,2
3721,3,3,3,3,3
3722,5,4,5,4,5
3723,4,4,4,4,4
3724,2,2,2,3,2
3725,2,2,2,2,3
3726,3,3,3,3,4
3727,2,2,2,3,2
3728,3,3,3,4,4
3729,1,1,2,2,2
3730,2,3,2,3,3
3731,3,2,3,3,4
3732,4,3,3,3,3
3733,3,2,3,3,4
3734,1,1,1,1,1
3735,3,2,2,2,2
3736,2,3,3,3,3
3737,4,3,5,4,5
3738,3,3,2,2,2
3739,3,3,3,3,3
3740,4,4,5,4,3
3741,1,1,1,1,3
3742,5,5,5,5,4
3743,4,4,4,4,4
3744,3,3,3,3,3
3745,1,1,1,1,1
3746,4,3,4,4,4
3747,3,3,3,4,4
3748,3,3,4,4,4
3749,4,3,4,4,3
3750,6,5,5,5,4
3751,6,6,5,6,5
3752,5,4,4,4,4
3753,3,3,3,4,3
3754,3,3,3,3,3
3755,5,5,5,5,5
3756,5,4,4,4,4
3757,4,3,3,3,2
3758,4,3,4,4,3
3759,2,2,2,4,4
3760,3,3,3,4,4
3761,3,3,3,3,3
3762,2,1,1,1,1
3763,5,4,4,5,5
3764,2,3,2,3,3
3765,4,4,3,4,3
3766,2,2,2,2,2
3767,3,3,4,4,4
3768,3,3,3,3,3
3769,3,3,3,3,3
3770,4,5,5,5,5
3771,4,4,4,4,4
3772,2,2,2,2,2
3773,2,2,2,3,2
3774,3,3,2,3,3
3775,4,4,4,4,4
3776,3,3,2,3,3
3777,3,3,3,3,3
3778,3,3,4,3,3
3779,1,1,1,2,1
3780,3,4,3,4,4
3781,3,3,3,4,4
3782,3,3,4,4,3
3783,4,3,3,3,3
3784,6,5,6,5,5
3785,2,2,2,3,3
3786,3,3,3,3,2
3787,3,3,3,3,3
3788,4,4,4,4,5
3789,4,3,4,4,4
3790,4,3,4,4,4
3791,3,3,3,3,3
3792,4,3,4,4,3
3793,6,5,6,5,5
3794,4,3,4,4,4
3795,4,3,3,4,3
3796,4,3,4,4,4
3797,4,4,4,4,4
3798,4,3,4,4,4
3799,3,3,3,3,2
3800,2,2,2,2,2
3801,2,2,1,2,2
3802,5,5,5,5,5
3803,3,2,3,3,3
3804,5,4,5,5,5
3805,3,2,3,3,2
3806,5,4,5,4,4
3807,5,4,4,5,5
3808,3,3,3,3,3
3809,6,5,6,6,5
3810,2,2,2,2,2
3811,2,2,2,3,2
3812,4,3,3,3,3
3813,2,3,3,3,3
3814,2,2,2,2,2
3815,3,3,3,4,4
3816,2,2,2,3,2
3817,3,4,3,3,2
3818,4,4,4,4,5
3819,3,3,3,3,3
3820,4,4,4,4,4
3821,4,4,4,4,4
3822,3,3,4,4,4
3823,2,2,3,3,4
3824,5,5,5,5,5
3825,5,5,5,5,5
3826,5,5,5,5,5
3827,4,4,3,4,3
3828,3,2,2,3,2
3829,4,3,4,4,4
3830,3,3,3,3,3
3831,4,4,4,4,4
3832,4,3,3,3,3
3833,3,3,3,3,3
3834,3,3,3,3,3
3835,2,2,2,2,2
3836,5,5,5,5,5
3837,4,4,4,4,4
3838,2,2,3,3,3
3839,3,4,3,3,3
3840,5,4,4,4,4
3841,2,2,2,2,2
3842,3,2,3,3,3
3843,4,4,4,4,4
3844,4,3,3,3,3
3845,1,1,1,1,1
3846,5,4,4,4,5
3847,5,4,4,4,4
3848,2,2,2,2,2
3849,3,3,3,4,3
3850,2,2,2,2,2
3851,4,3,4,4,4
3852,3,2,3,3,4
3853,2,2,3,2,3
3854,3,2,2,3,3
3855,3,2,3,3,3
3856,3,3,3,4,4
3857,2,3,3,3,3
3858,3,3,3,4,4
3859,2,2,1,1,1
3860,2,2,2,2,2
3861,2,2,2,3,3
3862,5,4,4,4,4
3863,3,2,3,3,3
3864,4,3,4,4,3
3865,3,3,3,3,4
3866,4,3,4,4,4
3867,4,4,4,4,4
3868,3,3,3,3,4
3869,2,3,2,2,3
3870,2,2,2,3,2
3871,4,4,4,5,5
3872,4,5,3,4,3
3873,4,4,4,4,4
3874,2,2,2,3,2
3875,5,6,6,6,6
3876,4,4,5,4,4
3877,5,4,4,4,4
3878,3,2,2,3,3
3879,1,1,1,1,1
3880,2,2,2,2,3
3881,4,4,5,5,6
3882,1,1,1,2,1
3883,1,1,1,1,1
3884,3,2,3,3,2
3885,3,3,3,4,4
3886,3,3,3,4,3
3887,4,4,4,4,4
3888,5,4,4,5,4
3889,5,5,5,5,4
3890,5,5,5,5,5
3891,4,4,4,4,4
3892,3,2,3,3,3
3893,3,3,4,4,4
3894,4,3,4,3,3
3895,3,3,3,3,3
3896,5,5,5,5,5
3897,4,3,4,4,4
3898,4,3,4,4,3
3899,4,3,4,4,4
3900,2,2,3,3,2
3901,4,4,4,4,4
3902,5,5,5,5,5
3903,1,1,1,1,2
3904,5,5,5,5,5
3905,4,3,3,4,4
3906,5,5,4,5,5
3907,4,4,4,5,5
3908,4,4,3,4,4
3909,5,4,4,5,5
3910,3,2,2,2,2
3911,2,2,2,2,2
3912,4,3,3,4,4
3913,2,2,2,2,2
3914,2,2,2,3,3
3915,4,3,3,4,4
3916,3,3,4,4,4
3917,4,3,3,4,4
3918,5,5,5,5,5
3919,5,5,5,5,5
3920,5,5,5,5,5
3921,4,4,5,5,4
3922,3,3,3,3,4
3923,3,3,3,3,3
3924,2,3,2,3,3
3925,5,4,4,5,4
3926,2,2,2,2,2
3927,3,4,2,3,3
3928,4,4,3,4,3
3929,3,2,2,3,3
3930,4,3,3,4,3
3931,4,4,4,4,4
3932,5,5,5,5,5
3933,2,2,2,3,3
3934,3,3,3,3,3
3935,3,2,3,3,3
3936,2,2,2,2,2
3937,6,6,6,6,6
3938,2,2,2,3,2
3939,2,2,3,3,2
3940,3,3,3,3,3
3941,2,2,3,3,2
3942,2,2,2,2,2
3943,3,3,3,5,4
3944,3,3,3,3,3
3945,4,3,4,4,4
3946,4,3,4,4,4
3947,2,2,2,2,2
3948,4,3,4,4,4
3949,5,4,4,5,5
3950,3,2,2,3,3
3951,6,5,6,6,6
3952,1,1,1,2,1
3953,3,3,3,4,3
3954,3,3,4,4,3
3955,4,3,4,4,4
3956,3,3,3,3,3
3957,3,2,3,3,3
3958,4,4,3,4,3
3959,4,4,3,3,4
3960,3,3,3,4,4
3961,5,5,5,4,4
3962,5,4,5,4,5
3963,3,3,3,4,4
3964,3,2,2,3,2
3965,4,3,3,4,3
3966,2,2,2,3,2
3967,2,2,3,3,3
3968,2,2,2,3,2
3969,2,2,2,2,2
3970,5,4,4,5,4
3971,3,2,4,3,4
3972,4,3,4,4,3
3973,2,2,2,2,2
3974,1,1,1,1,1
3975,5,4,4,4,4
3976,4,3,4,4,4
3977,5,4,5,5,4
3978,3,3,3,4,4
3979,3,2,3,3,3
3980,2,2,2,3,2
3981,4,3,3,4,4
3982,3,3,3,3,3
3983,4,4,4,4,4
3984,3,3,3,3,3
3985,2,2,2,2,2
3986,4,4,4,4,4
3987,3,3,3,3,2
3988,5,5,4,5,5
3989,4,3,4,3,4
3990,5,4,4,4,4
3991,3,3,3,3,3
3992,4,4,3,3,3
3993,3,2,2,3,3
3994,4,3,4,4,3
3995,2,2,2,3,2
3996,3,3,3,3,3
3997,2,2,3,3,2
3998,4,3,3,4,3
3999,4,3,4,4,3
4000,2,2,1,2,1
4001,4,4,4,4,4
4002,3,2,2,3,2
4003,4,4,4,4,4
4004,3,2,2,3,2
4005,5,5,5,4,5
4006,3,2,3,3,2
4007,2,2,2,2,2
4008,1,1,1,1,1
4009,1,1,1,1,1
4010,4,4,5,4,4
4011,3,3,3,4,3
4012,3,3,3,4,4
4013,4,3,3,4,4
4014,4,4,4,4,4
4015,4,4,3,4,3
4016,5,4,3,4,3
4017,4,2,3,3,2
4018,5,4,4,4,4
4019,4,4,3,3,2
4020,4,3,3,3,3
4021,4,3,3,4,4
4022,5,4,5,5,4
4023,4,3,4,3,3
4024,1,1,1,1,1
4025,3,3,3,3,3
4026,6,5,6,5,4
4027,2,2,2,3,2
4028,4,3,3,4,3
4029,2,2,2,3,3
4030,3,3,3,3,4
4031,3,2,2,2,2
4032,4,3,3,4,3
4033,5,5,5,6,5
4034,4,3,3,3,3
4035,5,5,4,5,5
4036,4,3,3,3,3
4037,4,4,3,3,3
4038,3,3,3,3,3
4039,3,3,3,3,3
4040,3,3,3,4,3
4041,3,2,3,3,3
4042,2,2,3,3,3
4043,3,2,3,4,3
4044,6,5,5,6,5
4045,4,4,4,4,4
4046,5,5,5,5,5
4047,2,2,3,3,3
4048,3,2,3,3,2
